=== sample 1 13:24:26 ===
Linux 6.17.0-29-generic (funlab-B550-EAGLE-WIFI6) 	05/30/2026 	_x86_64_	(32 CPU)

01:24:26 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:24:27 PM  all   11.70    0.00    5.19    0.00    0.00    0.00    0.00    0.00    0.00   83.11
01:24:27 PM    0   15.31    0.00   10.20    0.00    0.00    0.00    0.00    0.00    0.00   74.49
01:24:27 PM    1   11.22    0.00    8.16    0.00    0.00    0.00    0.00    0.00    0.00   80.61
01:24:27 PM    2    3.06    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   93.88
01:24:27 PM    3    6.12    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   90.82
01:24:27 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:24:27 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:24:27 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:24:27 PM    7    6.00    0.00   66.00    0.00    0.00    0.00    0.00    0.00    0.00   28.00
01:24:27 PM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:24:27 PM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:24:27 PM   10   16.67    0.00   41.03    0.00    0.00    0.00    0.00    0.00    0.00   42.31
01:24:27 PM   11  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:24:27 PM   12  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:24:27 PM   13  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:24:27 PM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:24:27 PM   15   17.39    0.00   53.62    0.00    0.00    0.00    0.00    0.00    0.00   28.99
01:24:27 PM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:24:27 PM   17    0.99    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00   95.05
01:24:27 PM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:24:27 PM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:24:27 PM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:24:27 PM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:24:27 PM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:24:27 PM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:24:27 PM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:24:27 PM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:24:27 PM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:24:27 PM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:24:27 PM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:24:27 PM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:24:27 PM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:24:27 PM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   11.70    0.00    5.19    0.00    0.00    0.00    0.00    0.00    0.00   83.11
Average:       0   15.31    0.00   10.20    0.00    0.00    0.00    0.00    0.00    0.00   74.49
Average:       1   11.22    0.00    8.16    0.00    0.00    0.00    0.00    0.00    0.00   80.61
Average:       2    3.06    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   93.88
Average:       3    6.12    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   90.82
